id,title_en,company_name,country,location_area,geo_point,created_date_year,created_date_month,created_date_month,created_date_day,created_date_day,created_date_iso_year,created_date_iso_year,created_date_iso_week,created_date_iso_week,created_dt_year,created_dt_month,created_dt_day,created_dt_iso_year,created_dt_iso_week,category_labels_clean,created_date_month,created_date_month,created_date_day,created_date_day,created_date_iso_year,created_date_iso_year,created_date_iso_week,created_date_iso_week,category_label_en,avg_salary
5410474609,Mechanical Pipefitter,Dodd Group,United Kingdom,UK > Eastern England > Norfolk > King's Lynn,"(52.751999, 0.395357)",2025,9,9,22,22,2025,2025,39,39,2025,9,22,2025,39,trade construction jobs,9,9,22,22,2025,2025,39,39,Trade & Construction Jobs,40518.74
5381519011,International Trade Policy Editor [Startup Policy Unit],Applio Ventures,United Kingdom,UK > London,"(nan, nan)",2025,9,9,3,3,2025,2025,36,36,2025,9,3,2025,36,graduate jobs,9,9,3,3,2025,2025,36,36,Graduate Jobs,64000.0
5389371380,Domestic Cleaner,Maid2Clean Suffolk Ltd,United Kingdom,UK > Eastern England > Norfolk > Diss,"(52.377602, 1.10638)",2025,9,9,8,8,2025,2025,37,37,2025,9,8,2025,37,domestic help cleaning jobs,9,9,8,8,2025,2025,37,37,Domestic help & Cleaning Jobs,13.0
5403097985,Early Years BABY Room Leader,Jesters Childcare Essex,United Kingdom,UK,"(nan, nan)",2025,9,9,17,17,2025,2025,38,38,2025,9,17,2025,38,teaching jobs,9,9,17,17,2025,2025,38,38,Teaching Jobs,28100.5
5400306117,Senior Back-End Engineer,Eligible Limited,United Kingdom,UK,"(nan, nan)",2025,9,9,15,15,2025,2025,38,38,2025,9,15,2025,38,it jobs,9,9,15,15,2025,2025,38,38,IT Jobs,80000.0
5404665589,Computer Systems Validation specialist,North Star Consulting UK,United Kingdom,UK > North East England > Tyne & Wear > Newcastle Upon Tyne,"(nan, nan)",2025,9,9,18,18,2025,2025,38,38,2025,9,18,2025,38,scientific qa jobs,9,9,18,18,2025,2025,38,38,Scientific & QA Jobs,65000.0
5404864465,Full Stack Software Engineer,Marshall Wolfe Ltd,United Kingdom,UK,"(nan, nan)",2025,9,9,18,18,2025,2025,38,38,2025,9,18,2025,38,it jobs,9,9,18,18,2025,2025,38,38,IT Jobs,30000.0
5383024325,Customer Operations Analyst,The Money Platform,United Kingdom,UK > London > Central London > The City,"(nan, nan)",2025,9,9,4,4,2025,2025,36,36,2025,9,4,2025,36,customer services jobs,9,9,4,4,2025,2025,36,36,Customer Services Jobs,25000.0
5402887432,Qualified British Sign Language (BSL) Interpreter - Ad-hoc / Flexible working pattern,GIOS,United Kingdom,UK > Yorkshire And The Humber > East Riding Of Yorkshire > Beverley,"(53.8452, -0.436108)",2025,9,9,17,17,2025,2025,38,38,2025,9,17,2025,38,teaching jobs,9,9,17,17,2025,2025,38,38,Teaching Jobs,81629.5
5404874544,Assembly Line Operative – Full Time,Euro Communications Distribution Limited,United Kingdom,UK > West Midlands > Wolverhampton,"(52.585701, -2.12925)",2025,9,9,18,18,2025,2025,38,38,2025,9,18,2025,38,logistics warehouse jobs,9,9,18,18,2025,2025,38,38,Logistics & Warehouse Jobs,9.5
